ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
GE,ILI,W40,1,48.2422656416058,125.951711948792,328.836830771686
GE,ILI,W41,2,108.836539193831,144.993731520317,193.16290591292
GE,ILI,W42,3,88.8502932284808,123.134475793246,170.647710637125
GE,ILI,W43,4,136.24054438342,226.004804308262,374.911681405699
GE,ILI,W44,5,160.887995492294,232.223872669065,335.189253072651
GE,ILI,W45,6,160.9451147139,215.721202062651,289.13979217125
GE,ILI,W46,7,173.934909035649,257.760676182191,381.985229729146
GE,ILI,W47,8,174.406946166657,241.124326219222,333.363676003573
GE,ILI,W48,9,159.375823181816,235.953068678685,349.324317248391
GE,ILI,W49,10,169.152204901361,240.98406936491,343.319921378124
GE,ILI,W50,11,200.122016827595,285.296578218817,406.722552738846
GE,ILI,W51,12,147.492214259595,241.790216819848,396.376915508851
GE,ILI,W52,13,144.395075088923,222.942991323584,344.21933954256
GE,ILI,W01,14,128.46809262629,202.226350447955,318.331937366446
GE,ILI,W02,15,120.057399507919,195.445509978361,318.172370276787
GE,ILI,W03,16,116.230963840778,179.956428488919,278.620387239064
GE,ILI,W04,17,83.8622202685138,131.715818409747,206.875715474744
GE,ILI,W05,18,99.7916917237189,155.927676496189,243.64192927818
GE,ILI,W06,19,103.908579537237,157.734776819764,239.443748814452
GE,ILI,W07,20,117.230407590114,163.214959813951,227.237315425969
GE,ILI,W08,21,83.5192105426443,155.149624864025,288.214004168025
GE,ILI,W09,22,106.848421441253,159.745987036031,238.831608646147
GE,ILI,W10,23,75.0537015675028,139.377302480162,258.828439383166
GE,ILI,W11,24,88.560657573782,148.479674160852,248.939136665122
GE,ILI,W12,25,112.515988020926,166.060059643861,245.084666579063
GE,ILI,W13,26,64.2534456786768,113.298677745013,199.780575861448
GE,ILI,W14,27,56.363319690274,102.279439252308,185.600914766058
GE,ILI,W15,28,88.0837678072102,128.365748495653,187.069261420723
GE,ILI,W16,29,79.2893082893284,133.862843247708,225.998450345572
GE,ILI,W17,30,79.4572492816757,137.357234375409,237.448565182234
GE,ILI,W18,31,81.6113853776969,119.117895427474,173.86144035423
GE,ILI,W19,32,75.396254401715,110.884534808852,163.076802121563
GE,ILI,W20,33,76.3128464554634,126.031574978017,208.142647394361
