ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
HU,ILI,W40,1,37.9018726122973,46.2369129634186,56.4049207345264
HU,ILI,W41,2,38.891403373114,45.3691537465139,52.925837926892
HU,ILI,W42,3,38.4798514504663,47.5570075697429,58.7754080054061
HU,ILI,W43,4,37.9075796721555,43.6174473728807,50.1873696970281
HU,ILI,W44,5,35.2937550645305,45.1317972951225,57.7121681545029
HU,ILI,W45,6,35.0640447251464,48.3261915495783,66.6044322037859
HU,ILI,W46,7,42.1844441021272,51.783709247002,63.5673315235845
HU,ILI,W47,8,54.4775357246236,62.7872064865461,72.3643837032503
HU,ILI,W48,9,60.7873391642243,72.3717542923777,86.1638441716637
HU,ILI,W49,10,68.7909205522154,78.0154973400249,88.4770515694955
HU,ILI,W50,11,78.8345462931002,89.4730799584242,101.547258323566
HU,ILI,W51,12,83.8995346444069,89.6872502377033,95.8742249202289
HU,ILI,W52,13,49.0368475546544,81.676498926835,136.041585248929
HU,ILI,W01,14,52.0335316234725,90.0196461955828,155.736819092294
HU,ILI,W02,15,87.2757502098835,103.907926857067,123.709704445609
HU,ILI,W03,16,130.595513073621,158.450443127049,192.24659665761
HU,ILI,W04,17,236.748513056553,323.606267328547,442.330196301169
HU,ILI,W05,18,409.536581223436,554.326423032197,750.306071203013
HU,ILI,W06,19,541.68930477077,726.484958151103,974.323084785945
HU,ILI,W07,20,572.049905092007,726.288038460162,922.112406828333
HU,ILI,W08,21,503.100423517577,622.046214212773,769.113828032634
HU,ILI,W09,22,366.701637837417,452.827720228082,559.18196988767
HU,ILI,W10,23,232.336526180542,297.104259111646,379.92709210814
HU,ILI,W11,24,148.004381532678,176.428408360751,210.311228318842
HU,ILI,W12,25,87.6847455228581,113.992398663828,148.19301664901
HU,ILI,W13,26,61.8403399959352,75.546196189164,92.2897215478892
HU,ILI,W14,27,42.6043829515819,47.2900068280397,52.4909549408932
HU,ILI,W15,28,34.0982659936134,41.1156739915083,49.5772614388257
HU,ILI,W16,29,19.1251606382305,24.7234843662638,31.9605513789527
HU,ILI,W17,30,11.2475139920793,15.9410436925008,22.5931591803462
HU,ILI,W18,31,10.1500296450363,14.3000405526117,20.1468534534126
HU,ILI,W19,32,8.48720363730058,10.6285552964626,13.3101775941236
HU,ILI,W20,33,7.39283900149293,9.34141686772915,11.8035938668586
