ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
IE,ILI,W40,1,3.40621675782404,4.61751861627814,6.25957761575214
IE,ILI,W41,2,4.08435496091612,4.36736908912316,4.66999390188901
IE,ILI,W42,3,3.28726203340003,4.70070200414976,6.7218856018493
IE,ILI,W43,4,4.34008470158254,4.66749872690286,5.0196127180873
IE,ILI,W44,5,3.33587579642938,4.26678844562178,5.45748245758376
IE,ILI,W45,6,4.09093743398742,5.19069703579952,6.58610310038312
IE,ILI,W46,7,4.12401962338342,5.4182493252483,7.11864356418079
IE,ILI,W47,8,4.13951704182218,5.50488994578362,7.32061566821092
IE,ILI,W48,9,4.87995826713695,6.22883784892857,7.95056408771461
IE,ILI,W49,10,7.25957534217387,9.20941634240715,11.6829628966146
IE,ILI,W50,11,8.45622092479739,11.1885767351074,14.8038054434328
IE,ILI,W51,12,8.72795702461389,12.9042651467792,19.0789274636406
IE,ILI,W52,13,8.50664017075445,13.7023624805467,22.0715504334825
IE,ILI,W01,14,25.5147907107326,40.2272786169257,63.4233673820835
IE,ILI,W02,15,34.7223915648006,50.2031999244197,72.5860509333764
IE,ILI,W03,16,37.1315708111101,55.119333891507,81.8209653477517
IE,ILI,W04,17,39.3674085287407,55.6942982698996,78.7924574083153
IE,ILI,W05,18,46.1543802127411,63.1149681785956,86.3081508152387
IE,ILI,W06,19,57.3118802578274,63.8719023766276,71.1827965660273
IE,ILI,W07,20,39.0827068402669,51.8597808554688,68.8139867427587
IE,ILI,W08,21,27.8094765826579,38.9073269656075,54.4339655983559
IE,ILI,W09,22,18.917165982837,26.2716142536322,36.4852597962004
IE,ILI,W10,23,16.2364277625528,23.1392691253987,32.9768212249569
IE,ILI,W11,24,11.5570736035517,15.1571894661339,19.8787686565981
IE,ILI,W12,25,9.75792337671751,13.0621182462161,17.4851683592054
IE,ILI,W13,26,5.93247553864468,8.70563181261633,12.7751096086528
IE,ILI,W14,27,5.54439655686498,8.24820700552977,12.270572299132
IE,ILI,W15,28,4.70218690536003,6.73571333004354,9.64866666886618
IE,ILI,W16,29,4.62600891263412,5.93028493368135,7.60229391227493
IE,ILI,W17,30,2.75086045533005,3.68770422594708,4.94360316668129
IE,ILI,W18,31,1.42501164821375,2.62200832886316,4.82447121414445
IE,ILI,W19,32,1.22865547056523,2.16985827977785,3.8320628256793
IE,ILI,W20,33,0.886507635170778,1.44363230978896,2.3508813271136
