ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
IL,ILI,W40,1,1.81392533751044,2.73308041398227,4.11799118454648
IL,ILI,W41,2,1.44703854463312,2.78821250301851,5.37244083153276
IL,ILI,W42,3,2.24054091407107,3.95440992472165,6.97927797458693
IL,ILI,W43,4,1.62141183300774,3.42202195059224,7.22224544803803
IL,ILI,W44,5,1.6015352435905,3.47196609550879,7.5268706178063
IL,ILI,W45,6,1.85950439056867,4.22798877563182,9.61325457338763
IL,ILI,W46,7,2.1840710052447,4.65407582215361,9.91745309852138
IL,ILI,W47,8,1.67104405345766,4.84912534158219,14.0714522335424
IL,ILI,W48,9,1.68673995218397,5.69166386700488,19.2057095304017
IL,ILI,W49,10,2.21019875453549,7.46135076467596,25.1885741584498
IL,ILI,W50,11,2.78405638083347,10.1686096089346,37.1402756390879
IL,ILI,W51,12,3.85721639629213,14.3494986239692,53.3825664946439
IL,ILI,W52,13,5.24919584330717,21.8535825492695,90.9813778136439
IL,ILI,W01,14,6.62596012943767,31.2857307126313,147.721526707458
IL,ILI,W02,15,5.67706475565216,37.3010025401305,245.085242177934
IL,ILI,W03,16,7.6999791228093,46.784730672528,284.261942687243
IL,ILI,W04,17,10.4907377796505,50.31979550035,241.36356015958
IL,ILI,W05,18,5.9636310222557,35.0518260225212,206.020544015544
IL,ILI,W06,19,6.80182596453469,29.8354617997019,130.86997306941
IL,ILI,W07,20,7.27950302051653,24.9770718345254,85.7000973375206
IL,ILI,W08,21,5.75808352230013,19.0068115033793,62.7394309453651
IL,ILI,W09,22,4.47736898513243,13.6915708708711,41.8681403151191
IL,ILI,W10,23,3.24819511572758,10.4478782389534,33.6057890018548
IL,ILI,W11,24,6.0131908462787,12.7549374826152,27.0552580725264
IL,ILI,W12,25,4.86729617104352,8.95840710662744,16.4882216055629
IL,ILI,W13,26,4.45135166632172,7.72366266571757,13.4015394526432
IL,ILI,W14,27,3.56505193657181,5.38297773163235,8.12791784658088
IL,ILI,W15,28,4.5237830450325,5.03258472273728,5.59861265215619
IL,ILI,W16,29,3.05126497025578,3.46536589260537,3.9356663176407
IL,ILI,W17,30,2.35117617956562,2.82182090984708,3.3866765563784
IL,ILI,W18,31,1.66777922240757,2.16850676324061,2.81957079152957
IL,ILI,W19,32,1.36938384937791,1.72702974552062,2.17808304316427
IL,ILI,W20,33,1.40882288013655,1.91894889696839,2.61378837687483
