ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
IT,ILI,W40,1,NA,78.5709333764703,NA
IT,ILI,W41,2,86.6645504554986,91.7452410012468,97.1237859325077
IT,ILI,W42,3,58.9395759414604,79.873023011926,108.241359106487
IT,ILI,W43,4,66.534911477076,100.003398878999,150.307253219954
IT,ILI,W44,5,75.9446281565207,120.252321757098,190.410055839229
IT,ILI,W45,6,96.9270825470818,150.180824543,232.693272795656
IT,ILI,W46,7,139.781826043827,191.846305970718,263.303221572385
IT,ILI,W47,8,175.172359438125,232.161752744817,307.691690689272
IT,ILI,W48,9,169.873302782707,242.748375006947,346.886606684097
IT,ILI,W49,10,213.945004598574,306.744043270663,439.794835399778
IT,ILI,W50,11,266.659708919004,402.723314451026,608.213624247533
IT,ILI,W51,12,304.01130140729,532.951297215994,934.29778396192
IT,ILI,W52,13,313.213201441023,617.978674914568,1219.28973904082
IT,ILI,W01,14,305.638166761367,633.440830360236,1312.81799593029
IT,ILI,W02,15,298.619676046599,641.698192816127,1378.93315040375
IT,ILI,W03,16,285.273927163198,627.706403833018,1381.18240713801
IT,ILI,W04,17,267.050572610493,579.024500099858,1255.45273480802
IT,ILI,W05,18,258.589420276834,522.321267354698,1055.02965294926
IT,ILI,W06,19,226.557335924649,442.978006840478,866.136219970502
IT,ILI,W07,20,212.387115587424,379.1589735783,676.88440914757
IT,ILI,W08,21,194.019837056648,310.137786186888,495.750578291747
IT,ILI,W09,22,182.961106417552,263.348730122599,379.056265099915
IT,ILI,W10,23,165.457719582983,219.537357461462,291.292853803593
IT,ILI,W11,24,158.35752851146,198.517835714229,248.863009337819
IT,ILI,W12,25,135.53516835998,176.391832909332,229.564614805177
IT,ILI,W13,26,109.184813360092,156.623589159383,224.673632955381
IT,ILI,W14,27,93.1639405319529,151.861886321509,247.54247604219
IT,ILI,W15,28,68.4579838037025,133.655965283764,260.947168808799
IT,ILI,W16,29,50.9915176205891,134.026948515477,352.278648814275
IT,ILI,W17,30,44.5644477661378,160.258697793844,576.308055097084
IT,ILI,W18,31,59.9295006086728,229.558376364925,879.317324924855
IT,ILI,W19,32,50.9112752395388,197.124834296432,763.253328728596
IT,ILI,W20,33,46.0678129099038,180.971320482327,710.921938082205
