ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
KG,ILI,W40,1,0.434341437424148,1.6347976297671,6.15313912055387
KG,ILI,W41,2,1.06956028500476,2.18877480016466,4.47916325334994
KG,ILI,W42,3,-0.026631129657302,1.18119017642705,3.88775707822547
KG,ILI,W43,4,0.114578354088444,1.36916731930991,4.03594365196213
KG,ILI,W44,5,1.21485899622311,4.12048016308081,13.9755780935291
KG,ILI,W45,6,2.15388987894499,5.1823068320323,12.4687452055271
KG,ILI,W46,7,3.98893093227295,11.1284373845621,31.0464434518431
KG,ILI,W47,8,0.778271762858732,4.72616903228914,28.7003522262227
KG,ILI,W48,9,3.17592569028727,7.78691218424879,19.0923866860744
KG,ILI,W49,10,5.9438591066069,13.8181157756822,32.123965283416
KG,ILI,W50,11,3.96380046082229,9.66786520831578,23.5803034511916
KG,ILI,W51,12,6.4686987226486,10.0365510398551,15.5722752124667
KG,ILI,W52,13,6.05735646260465,8.90030944957471,13.0775708491368
KG,ILI,W01,14,1.28421078788337,3.76787884113074,11.0549693986297
KG,ILI,W02,15,0.557175823593969,1.54978953898284,4.31075347032814
KG,ILI,W03,16,0.64355355934851,2.42826369926985,6.15096379115881
KG,ILI,W04,17,0.649807115044319,1.81192462189268,5.05237748158085
KG,ILI,W05,18,3.69295131236125,6.85557111441953,12.7266382168501
KG,ILI,W06,19,1.04188388997265,4.1171969872133,16.2698657639895
KG,ILI,W07,20,1.41509385289076,3.12561242191543,6.90374916976354
KG,ILI,W08,21,-0.0158964286590904,0.903062551828621,2.68014829093417
KG,ILI,W09,22,1.01660288990645,2.01462515114023,3.99242864633238
KG,ILI,W10,23,0.964985635186464,1.89726282752195,3.73021743064708
KG,ILI,W11,24,-0.0756247797045445,1.01803683400173,3.40564889016179
KG,ILI,W12,25,0.629995785430623,2.8451029867021,12.8486748517028
KG,ILI,W13,26,1.04762386595294,2.37744678362974,5.39530779384262
KG,ILI,W14,27,-0.115471248536388,0.59222069236181,1.86612134313354
KG,ILI,W15,28,0.0151600035028796,1.78442487339957,6.63724127118274
KG,ILI,W16,29,0.55427934697616,3.47177356640883,21.7457348215674
KG,ILI,W17,30,-0.320189949814219,1.73059954115066,9.96802533603993
KG,ILI,W18,31,-0.181115090097046,1.63449430764854,7.47562358653679
KG,ILI,W19,32,0.422563873884499,1.46013649111952,5.04538770221887
KG,ILI,W20,33,-0.282718112842204,3.80310176469255,31.1627897971966
