ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
KZ,ILI,W40,1,17.382318226269,20.5744951058317,24.3528995010669
KZ,ILI,W41,2,19.773575419976,24.7926122693687,31.0856084488536
KZ,ILI,W42,3,10.1786448933574,17.3070724543343,29.4277637227576
KZ,ILI,W43,4,16.3395590127345,21.0268608747106,27.0588011524579
KZ,ILI,W44,5,7.6898624858768,13.0777627183334,22.2406939046232
KZ,ILI,W45,6,23.8002109965395,28.0666732080421,33.0979479585943
KZ,ILI,W46,7,20.5188987963254,26.4399165584431,34.0695275392958
KZ,ILI,W47,8,22.4557444932528,31.554567419925,44.3401342296963
KZ,ILI,W48,9,22.7044461245222,31.3146035577841,43.1899721580113
KZ,ILI,W49,10,24.8454975185839,44.2411116608774,78.777893641543
KZ,ILI,W50,11,26.1885629446611,37.488628515796,53.6645432193089
KZ,ILI,W51,12,29.3145181238503,36.3297292968239,45.0237396093055
KZ,ILI,W52,13,31.1594900414355,41.2176608137861,54.5225727603741
KZ,ILI,W01,14,19.4673670127384,28.7809600070082,42.550369466142
KZ,ILI,W02,15,31.7228779150032,41.5820384894304,54.5053298622291
KZ,ILI,W03,16,23.2072310371661,38.4200307820819,63.6051221678351
KZ,ILI,W04,17,40.3007270288211,54.0597514273262,72.5162283621907
KZ,ILI,W05,18,37.7638647131826,65.1274343390397,112.318554676563
KZ,ILI,W06,19,36.0071698880371,48.1938079554939,64.5050175415951
KZ,ILI,W07,20,39.1961032773662,54.1204083678704,74.7272906487218
KZ,ILI,W08,21,39.1819681715209,54.3758619178503,75.4616089310746
KZ,ILI,W09,22,20.8170734174789,38.4401570516918,70.9823924105508
KZ,ILI,W10,23,28.9110026565337,40.5702111430856,56.9313368944185
KZ,ILI,W11,24,35.1133379914883,52.3784876117467,78.1328726183465
KZ,ILI,W12,25,2.85417323459624,12.2639045952361,52.6959450456516
KZ,ILI,W13,26,10.3268098727996,19.1224464727557,35.4095760072588
KZ,ILI,W14,27,13.0277906070909,21.4190602655331,35.2151916234234
KZ,ILI,W15,28,5.8582883249408,15.6524992389643,41.8212144633992
KZ,ILI,W16,29,6.26792975856312,15.4495778819757,38.0810675813876
KZ,ILI,W17,30,5.37731325359464,13.4078721526164,33.4313861184734
KZ,ILI,W18,31,4.83383157475197,19.6342061259281,79.7508237996923
KZ,ILI,W19,32,7.64545744645693,16.3382109355845,34.9144754836557
KZ,ILI,W20,33,10.2602643655482,16.2260936540112,25.660753552589
