ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
LT,ILI,W40,1,0.0770249368273265,0.298396645662855,1.1559965098375
LT,ILI,W41,2,0.313683861371388,0.537477726801411,0.920934553485325
LT,ILI,W42,3,0.393077309420442,0.684552899145914,1.1921641379402
LT,ILI,W43,4,0.428278403876534,0.652713486708576,0.994761566016496
LT,ILI,W44,5,0.422067618319603,0.600017335249889,0.852993186337642
LT,ILI,W45,6,0.52386265309512,0.862023197985707,1.41847102379826
LT,ILI,W46,7,0.464803528383004,0.892775045373017,1.71480471418456
LT,ILI,W47,8,0.792182715999736,1.25007617183831,1.97263889231135
LT,ILI,W48,9,0.811792781673273,1.33626397562438,2.19957783915123
LT,ILI,W49,10,0.962374356375887,1.94057264605128,3.9130533452531
LT,ILI,W50,11,0.611289828231399,1.64106440716284,4.40559005578162
LT,ILI,W51,12,1.04956659236794,2.23317919721573,4.75157018443741
LT,ILI,W52,13,1.43731513361676,3.5075294287999,8.55954439367764
LT,ILI,W01,14,4.05057427738356,7.25769151367973,13.0041032457658
LT,ILI,W02,15,10.670248088373,17.5773844414402,28.9556944921322
LT,ILI,W03,16,25.6577334690964,46.7501310591729,85.1819104240937
LT,ILI,W04,17,56.1053617054305,111.353854424272,221.007057404673
LT,ILI,W05,18,84.9909965856719,160.837122517461,304.368474531545
LT,ILI,W06,19,48.8208292049213,123.098097728976,310.382718017517
LT,ILI,W07,20,101.693931769899,173.989625628197,297.681378813605
LT,ILI,W08,21,53.6553682685861,100.517618320581,188.309053108438
LT,ILI,W09,22,56.1548695844412,89.373756112378,142.24355502462
LT,ILI,W10,23,32.5203131529611,52.6014971443263,85.0827447082141
LT,ILI,W11,24,22.5450114336723,33.1147476912223,48.6398739641133
LT,ILI,W12,25,12.6252876556242,17.3046918520276,23.7184584036176
LT,ILI,W13,26,7.01991358855792,12.0553133016886,20.7026164878653
LT,ILI,W14,27,4.84514798421079,5.43449461755882,6.09552728719935
LT,ILI,W15,28,2.2965347698014,2.91923521976505,3.71077955377686
LT,ILI,W16,29,1.50162283402655,2.0813682759123,2.88494141259012
LT,ILI,W17,30,0.555817740143054,0.987032279849746,1.75279169969394
LT,ILI,W18,31,0.413128550838862,0.679825377538734,1.11868943215678
LT,ILI,W19,32,0.143680337179969,0.375665293317679,0.9822110343929
LT,ILI,W20,33,0.14201389583353,0.520888243113954,1.91054938829642
