ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
LU,ILI,W40,1,-0.109922960737234,0.258473091337348,0.779345440628348
LU,ILI,W41,2,-0.0405445022499616,0.338291518784901,0.866708975509153
LU,ILI,W42,3,0.0367280450313709,0.353464424862474,0.766968645391353
LU,ILI,W43,4,-0.0379005667461513,0.133746541186604,0.336017021967668
LU,ILI,W44,5,-0.0558942217093261,0.458640503630088,1.25359506080173
LU,ILI,W45,6,0.0185230338977151,0.151892008430082,0.302724783756178
LU,ILI,W46,7,-0.0345354220106701,0.188236696401693,0.462411443013308
LU,ILI,W47,8,0.0623486614110582,0.40940174331931,0.869831766374204
LU,ILI,W48,9,0.0163854045163343,0.301694454253492,0.667092467783528
LU,ILI,W49,10,0.0714797209068754,0.570414604996662,1.30167868179482
LU,ILI,W50,11,0.133000111226541,0.558330969881879,1.14333201526707
LU,ILI,W51,12,0.213429289483495,0.492504931599763,1.13649400341018
LU,ILI,W52,13,0.082058050981977,0.736591736036969,1.78705089337404
LU,ILI,W01,14,0.354809999947628,0.740835235691008,1.54684717601635
LU,ILI,W02,15,1.5265452525465,2.54001999029082,4.22634149909059
LU,ILI,W03,16,1.47042575710251,2.80085438897568,5.33504345279056
LU,ILI,W04,17,2.43105821922486,4.70823693398249,9.11845502144532
LU,ILI,W05,18,3.83665817266829,5.4259476785518,7.67358124841919
LU,ILI,W06,19,5.4251462384,6.89649664389255,8.7668910420465
LU,ILI,W07,20,4.47273427933298,6.41747257941841,9.20778023811623
LU,ILI,W08,21,2.86694433372123,5.29451034522685,9.77760170157522
LU,ILI,W09,22,2.90308769638823,4.23280371308587,6.17157631710673
LU,ILI,W10,23,2.3127724334886,3.46552711225357,5.19284906368795
LU,ILI,W11,24,2.30597703215404,3.70579979118558,5.95537245205038
LU,ILI,W12,25,1.92785180929267,2.4861270824065,3.20607001019587
LU,ILI,W13,26,0.731795075392537,1.35435464207299,2.50654391944457
LU,ILI,W14,27,0.0390717138433323,0.561475873737749,1.34652418286568
LU,ILI,W15,28,0.14055139710285,0.350458945583749,0.598997965667929
LU,ILI,W16,29,0.0273744562344054,0.189297847338171,0.376741811225733
LU,ILI,W17,30,0.0128397093317616,0.31545427469876,0.708483517066007
LU,ILI,W18,31,-0.0357484032342987,0.191629740920875,0.472625447767016
LU,ILI,W19,32,0,0,0
LU,ILI,W20,33,0,0,0
