ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
MT,ILI,W40,1,1.60588094345914,3.90262402610973,9.48418645305161
MT,ILI,W41,2,2.78974961895782,5.22002037079957,9.76740438869271
MT,ILI,W42,3,2.80562345582177,4.63653134202371,7.66226231854466
MT,ILI,W43,4,2.5425880680346,5.6644352328017,12.6193569890413
MT,ILI,W44,5,1.878019857022,4.33246735630371,9.99471508421724
MT,ILI,W45,6,0.528567465850036,2.45808222334616,11.4312147589588
MT,ILI,W46,7,0.790154319005293,2.30279168549376,6.71115681991695
MT,ILI,W47,8,1.99271998346913,3.97353107338458,7.92331552959376
MT,ILI,W48,9,6.20141322171035,8.38193740627462,11.3291716211952
MT,ILI,W49,10,0.816521040837368,2.98320791616989,10.8993265647778
MT,ILI,W50,11,4.14933343082513,5.94850564649795,8.5278081446883
MT,ILI,W51,12,2.5726083454797,5.42158056199996,11.4255774074211
MT,ILI,W52,13,1.96554280802175,4.94815981033486,12.4567551562287
MT,ILI,W01,14,2.31309746332078,5.73123052298859,14.2004406768401
MT,ILI,W02,15,1.96420719627187,4.83690798227079,11.911003520077
MT,ILI,W03,16,2.58351791588415,5.36243104184877,11.1304305272226
MT,ILI,W04,17,2.03723062048105,5.75095993207571,16.2345587229249
MT,ILI,W05,18,3.63697354047353,6.80179184911605,12.7205688586555
MT,ILI,W06,19,3.46187861117226,6.20772464358677,11.1314836765884
MT,ILI,W07,20,3.65531268691214,6.06860211618142,10.0751795534166
MT,ILI,W08,21,3.50536604936851,6.11590434652492,10.6705791774815
MT,ILI,W09,22,2.03098925832945,4.55561261839597,10.2184717342912
MT,ILI,W10,23,1.33940196320683,3.61349845010078,9.74865754087623
MT,ILI,W11,24,2.47807691433858,4.37055891016796,7.70831005152518
MT,ILI,W12,25,2.11082688627698,4.02745742664052,7.68438825033683
MT,ILI,W13,26,0.790066814226884,1.89584461513947,4.5492694289032
MT,ILI,W14,27,0.973600087638408,1.92230373747429,3.79545123919506
MT,ILI,W15,28,1.1925269843587,2.45062081907436,5.03598029868505
MT,ILI,W16,29,0.841921225624607,2.14365593601784,5.45806499725123
MT,ILI,W17,30,0.603722337437152,1.30336819163217,2.81382439843111
MT,ILI,W18,31,0.40887609664242,0.996616807865331,2.42920794312982
MT,ILI,W19,32,0.247521271559662,1.03417249931497,4.32089230796299
MT,ILI,W20,33,0.108625147908245,0.791251220609165,5.76366068237105
