ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
NIR,ILI,W40,1,2.24636623993666,5.19734995361451,12.0249521472057
NIR,ILI,W41,2,2.82663301284312,5.36016492200473,10.1645200705383
NIR,ILI,W42,3,2.56813864890366,5.15520606397142,10.3484091769551
NIR,ILI,W43,4,2.95582900638969,5.8953718114386,11.7582609548703
NIR,ILI,W44,5,4.66925656014903,5.00835360345441,5.37207700928606
NIR,ILI,W45,6,3.40351592158017,7.17369147891973,15.1202023497022
NIR,ILI,W46,7,1.90259970884849,4.39927733445524,10.1722085709584
NIR,ILI,W47,8,2.2058024740815,5.21249893655684,12.3175785152385
NIR,ILI,W48,9,2.06696643635844,5.8921262496643,16.7961855264314
NIR,ILI,W49,10,2.12382314655164,6.6846244518852,21.0395126992063
NIR,ILI,W50,11,1.68011274903813,7.12401152482321,30.2072228395799
NIR,ILI,W51,12,2.09644901856622,8.77410992294572,36.7216203485765
NIR,ILI,W52,13,2.1596898270934,8.37911915647908,32.5091302268001
NIR,ILI,W01,14,2.47023530976868,9.75209336618531,38.4997026990522
NIR,ILI,W02,15,2.55591096026165,8.80082405147151,30.3040697384193
NIR,ILI,W03,16,2.13683905003997,7.33434420375425,25.1739151332606
NIR,ILI,W04,17,2.63764244698279,8.14918961316331,25.1775184416124
NIR,ILI,W05,18,2.14387302316573,7.36076968382428,25.2724530570849
NIR,ILI,W06,19,1.45309669857233,5.85608972441734,23.6004850152919
NIR,ILI,W07,20,2.45303740171978,7.15624570402519,20.8769146937895
NIR,ILI,W08,21,2.01545996481494,6.14855353483525,18.7573612131791
NIR,ILI,W09,22,2.00894814366682,5.37504391519022,14.3812059964326
NIR,ILI,W10,23,1.43632116772463,3.76860004430274,9.88800180144771
NIR,ILI,W11,24,1.60094943592969,3.65278935775058,8.33434822652441
NIR,ILI,W12,25,0.969144159534657,2.909048239606,8.73199469562725
NIR,ILI,W13,26,1.00606674695791,2.74104351145684,7.46801298663137
NIR,ILI,W14,27,1.08346244403253,2.88724389845108,7.69401595325874
NIR,ILI,W15,28,1.08638140554264,2.91175445061685,7.80417810672319
NIR,ILI,W16,29,0.867994285742158,1.8218234831854,3.82380490102873
NIR,ILI,W17,30,0.813649432908143,2.09713019704109,5.40522107613648
NIR,ILI,W18,31,0.583061007412864,1.87671277563489,6.04062147434473
NIR,ILI,W19,32,0.422484201666969,1.45156782827684,4.98728509083818
NIR,ILI,W20,33,0.153809209252877,0.620523102707549,2.50341915717639
