ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
NL,ILI,W40,1,27.6018347203589,33.9895029048133,41.8554172003711
NL,ILI,W41,2,27.8375117352564,37.3931303855067,50.2288499534466
NL,ILI,W42,3,25.997916157772,34.137082223418,44.824376525271
NL,ILI,W43,4,29.7226838596932,36.2643409434674,44.2457494845359
NL,ILI,W44,5,22.8067004446229,30.9258986391996,41.9355359607722
NL,ILI,W45,6,31.1856349696996,37.2042197826599,44.3843446183259
NL,ILI,W46,7,29.0364846532081,34.3290594748015,40.5863291820435
NL,ILI,W47,8,32.4557841456427,37.1936945856176,42.6232473916032
NL,ILI,W48,9,35.6101941432424,44.0296413044836,54.4397288485262
NL,ILI,W49,10,39.969997505162,50.2279650112503,63.1185545819852
NL,ILI,W50,11,48.2537349647075,67.9906249677791,95.8003579803765
NL,ILI,W51,12,51.5656753180497,60.3934141239176,70.7324096319225
NL,ILI,W52,13,51.2752177293486,67.4006719230815,88.5973922073207
NL,ILI,W01,14,55.5077866859052,86.7050079853078,135.436104708553
NL,ILI,W02,15,62.828787450158,84.2188551812535,112.891173869425
NL,ILI,W03,16,87.2288033168276,113.955496015534,148.87118220549
NL,ILI,W04,17,92.8971784605905,119.795545076282,154.482330442487
NL,ILI,W05,18,84.7359536758144,114.739367342323,155.366427673479
NL,ILI,W06,19,76.6592658289715,108.681184497006,154.079219725692
NL,ILI,W07,20,118.421762096189,138.773994820709,162.624008439053
NL,ILI,W08,21,97.0188728292718,119.414459634685,146.979786035418
NL,ILI,W09,22,84.1313975316067,113.084905542243,152.00265580628
NL,ILI,W10,23,61.3324369668005,82.2329163358871,110.255728673645
NL,ILI,W11,24,57.9030282488189,69.488290873602,83.3915377928926
NL,ILI,W12,25,51.2297461459026,60.9243913372674,72.4536375652794
NL,ILI,W13,26,38.997725025867,45.5215678858237,53.1367699374559
NL,ILI,W14,27,37.8637878182601,45.4557796415627,54.5700264521831
NL,ILI,W15,28,33.3134629441137,39.4304740791242,46.6706895261156
NL,ILI,W16,29,22.2953705502906,30.9014635788334,42.8295393951871
NL,ILI,W17,30,20.0964114977974,27.9289244321578,38.814134554454
NL,ILI,W18,31,13.7292197617881,19.1010725017413,26.5747782501268
NL,ILI,W19,32,17.6679912436508,20.6506070866981,24.1367321937311
NL,ILI,W20,33,12.2523095734952,19.1719948727823,29.9996817087553
