ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
NO,ILI,W40,1,17.9373403700306,22.3003770214574,27.7246684870872
NO,ILI,W41,2,20.8246705818973,23.2213708117684,25.8939059927507
NO,ILI,W42,3,21.9243861434822,24.447355491736,27.2606579097767
NO,ILI,W43,4,22.7281184585075,25.5850060448075,28.8009997619408
NO,ILI,W44,5,24.614309962198,26.4386296515101,28.3981610259729
NO,ILI,W45,6,25.6045621520345,27.0546996353066,28.5869669635612
NO,ILI,W46,7,27.2012887577826,29.3959018495275,31.7675773836202
NO,ILI,W47,8,29.0016930794776,31.354207285727,33.8975490783328
NO,ILI,W48,9,31.7583122185456,34.3375852530536,37.1263357100631
NO,ILI,W49,10,34.6653297409131,36.9647646597911,39.4167266420398
NO,ILI,W50,11,38.7316988580951,42.2239947002641,46.0311781050448
NO,ILI,W51,12,42.4101934511246,47.6673803339596,53.5762504955541
NO,ILI,W52,13,24.8736722072203,38.4411535191877,59.4090921346468
NO,ILI,W01,14,46.403914493815,56.5092430202412,68.8151976304994
NO,ILI,W02,15,71.2476173630256,95.6379519589376,128.377876951247
NO,ILI,W03,16,76.4556182780648,106.417463332033,148.120919784304
NO,ILI,W04,17,98.3725576141254,128.59963729979,168.114635979158
NO,ILI,W05,18,112.786783542925,143.151971395226,181.692271652914
NO,ILI,W06,19,150.540485916026,190.066179270191,239.969681793902
NO,ILI,W07,20,170.79466233097,203.551046784955,242.589716105772
NO,ILI,W08,21,151.841197927158,192.314725113443,243.576539176159
NO,ILI,W09,22,136.165649139302,174.239787311442,222.960076012105
NO,ILI,W10,23,117.306107247561,150.82648240448,193.925349057065
NO,ILI,W11,24,97.0251009254479,127.321092655674,167.076977817221
NO,ILI,W12,25,60.4073747493311,91.6530400257128,139.060500159344
NO,ILI,W13,26,64.0339347559798,87.4056448749885,119.307782430146
NO,ILI,W14,27,42.7233819545526,54.129331323794,68.5803505133996
NO,ILI,W15,28,44.1237861830394,55.9929769314666,71.0549510108199
NO,ILI,W16,29,24.0438998097756,41.0589707204514,70.1150433149566
NO,ILI,W17,30,28.8302802620113,38.234505059888,50.7063186305845
NO,ILI,W18,31,20.3013970060664,29.0544199259046,41.5813412731426
NO,ILI,W19,32,21.2381008966013,27.3369091041173,35.187072658006
NO,ILI,W20,33,15.1364763369776,17.294356758914,19.7598680859376
