ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
PL,ILI,W40,1,303.10389639778,313.459795852633,324.169516735694
PL,ILI,W41,2,255.951947706687,299.765808732692,351.079727621925
PL,ILI,W42,3,287.925224849429,317.30673575717,349.68650145024
PL,ILI,W43,4,322.220475865341,364.291164951262,411.854809987333
PL,ILI,W44,5,241.179871684729,319.669270005456,423.702199822886
PL,ILI,W45,6,263.974428931346,319.398177983206,386.45862976949
PL,ILI,W46,7,281.097638771462,362.266373923684,466.873098790108
PL,ILI,W47,8,269.44927794404,339.738930936986,428.364633503221
PL,ILI,W48,9,273.771819197869,351.410446349126,451.066520159402
PL,ILI,W49,10,308.976949371886,368.586230258395,439.69561293253
PL,ILI,W50,11,204.758896133288,339.851511019674,564.073413773295
PL,ILI,W51,12,220.891168663953,361.664459612808,592.152154104518
PL,ILI,W52,13,228.475725050493,395.124463448931,683.325730036759
PL,ILI,W01,14,215.190825397603,383.646422978713,683.972365422233
PL,ILI,W02,15,233.299035403846,414.922203511576,737.938906043432
PL,ILI,W03,16,220.7784358407,378.268397685603,648.102157906742
PL,ILI,W04,17,232.363128431181,375.812895022115,607.821615324537
PL,ILI,W05,18,199.581001275,343.419463435281,590.922618449401
PL,ILI,W06,19,179.309455962097,327.313622303398,597.482195071839
PL,ILI,W07,20,295.141544806834,379.056560907979,486.83040017773
PL,ILI,W08,21,292.476370657869,358.201998635272,438.697565679231
PL,ILI,W09,22,157.939593114931,271.580165362395,466.987313083647
PL,ILI,W10,23,131.539290295664,223.851965289255,380.948553479567
PL,ILI,W11,24,107.447109771809,195.564799507568,355.948064937806
PL,ILI,W12,25,107.85693412944,184.663007788605,316.163506044128
PL,ILI,W13,26,107.426314639974,168.118224772871,263.098828210798
PL,ILI,W14,27,132.382096088451,190.367988980009,273.752813251115
PL,ILI,W15,28,139.632796093252,190.185422875064,259.040111536627
PL,ILI,W16,29,128.392573050583,173.908881213203,235.561125119852
PL,ILI,W17,30,123.625054184364,162.846023799152,214.510138273801
PL,ILI,W18,31,93.29317017107,125.08452833437,167.709374651347
PL,ILI,W19,32,111.037253865376,146.732308327989,193.902222522218
PL,ILI,W20,33,132.399912346521,166.178540009095,208.574965573081
