ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
PT,ILI,W40,1,0.0217868866764221,2.06074528611041,8.16841058404948
PT,ILI,W41,2,-0.327897960077757,0.512731080034328,2.40477365723599
PT,ILI,W42,3,4.98602672139371,9.09807782292035,16.6013992096652
PT,ILI,W43,4,0.729611966530985,4.14894489913344,14.3280817242989
PT,ILI,W44,5,0.575900477096801,3.06517381754632,9.48647323040884
PT,ILI,W45,6,-0.172241820599704,2.28237745562622,12.0158807600173
PT,ILI,W46,7,0.316116826770367,3.60101200350192,15.0846750271527
PT,ILI,W47,8,1.04878898913841,3.95032242407787,10.9610619894212
PT,ILI,W48,9,5.5032839528148,8.41537361808238,12.8684097966079
PT,ILI,W49,10,5.02595070961665,9.03822394658119,16.2535402411029
PT,ILI,W50,11,8.5846005610724,13.3664702892192,20.8119791621686
PT,ILI,W51,12,10.2529403983389,12.2671682058823,14.6770984658985
PT,ILI,W52,13,21.7972007507402,32.6179915195607,48.8105506269655
PT,ILI,W01,14,18.1236655352667,33.5889499364453,62.2510692242492
PT,ILI,W02,15,31.6167080645017,44.2537254477562,61.94168640233
PT,ILI,W03,16,45.9189368283859,62.8674325864818,86.0715502797228
PT,ILI,W04,17,39.8064727041408,61.8349443060118,96.0537339177466
PT,ILI,W05,18,43.6623578303342,68.0948084897751,106.199096285123
PT,ILI,W06,19,33.0117797545736,48.7606727182256,72.0228724900695
PT,ILI,W07,20,27.7744045783515,46.1641269512258,76.7298759243243
PT,ILI,W08,21,25.2377147983851,37.8801025458426,56.8554712796488
PT,ILI,W09,22,14.6934251584018,23.4102036740127,37.2981541165973
PT,ILI,W10,23,17.2289932487882,24.1771774807231,33.9274560326093
PT,ILI,W11,24,5.12057526296129,9.62581931348103,18.0949195544487
PT,ILI,W12,25,4.58371429387535,8.48288427612627,15.6989116311854
PT,ILI,W13,26,0.20991080643339,2.22725424927255,7.60821304683597
PT,ILI,W14,27,0.144644925786592,2.20748594995948,7.98791047548449
PT,ILI,W15,28,0.967200303205106,3.07371242549188,7.43591417639013
PT,ILI,W16,29,-0.141003338215719,0.991144237643169,3.61544910647771
PT,ILI,W17,30,-0.111452450005626,0.744030266327099,2.42316128144659
PT,ILI,W18,31,-0.436673301025955,0.818169596970435,4.8682478380098
PT,ILI,W19,32,-0.234467799388601,0.320918209955236,1.27923125375762
PT,ILI,W20,33,0,0,0
