ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
RS,ILI,W40,1,33.3362997144405,60.0751999225562,108.261255047805
RS,ILI,W41,2,22.1416420954146,44.0527151180532,87.6466930912159
RS,ILI,W42,3,28.1664921940965,58.2095974434286,120.297451708814
RS,ILI,W43,4,34.0743963840398,62.6594166597287,115.22441811989
RS,ILI,W44,5,33.9608860337069,64.0281925690102,120.715620893557
RS,ILI,W45,6,33.3510981310235,59.2171658716237,105.144146081518
RS,ILI,W46,7,33.3324591696629,49.832301929969,74.4997032172079
RS,ILI,W47,8,29.2169923288192,46.9255224549968,75.3672600140429
RS,ILI,W48,9,39.2394447044388,54.4140983848462,75.4570847099879
RS,ILI,W49,10,47.339319913724,63.5203452654677,85.2321974628642
RS,ILI,W50,11,53.9222153183803,68.97574565174,88.2317883292122
RS,ILI,W51,12,77.4986779239833,94.8963247058033,116.199562159013
RS,ILI,W52,13,89.8954672875785,126.576182608003,178.22400268927
RS,ILI,W01,14,134.544789643425,176.92408949462,232.652141539322
RS,ILI,W02,15,156.162027028416,211.547164674188,286.575448162853
RS,ILI,W03,16,151.562193214536,193.134487105665,246.109727752282
RS,ILI,W04,17,131.428994428083,169.667697936346,219.031788596475
RS,ILI,W05,18,113.064040481209,134.396594501555,159.754105166773
RS,ILI,W06,19,91.3928296909095,108.145257872613,127.96842859432
RS,ILI,W07,20,67.0773423210061,83.2262438518797,103.263000977953
RS,ILI,W08,21,54.7714070410047,68.5641799412099,85.8303086406228
RS,ILI,W09,22,35.5821702105813,51.8265282646699,75.4869367459178
RS,ILI,W10,23,34.4617676757824,52.9804038501462,81.4503544487975
RS,ILI,W11,24,26.571126321712,48.6927736241818,89.2316785712774
RS,ILI,W12,25,20.9055489150245,39.2112779313074,73.5462303934644
RS,ILI,W13,26,17.4512820984111,37.6930834625198,81.4134189626009
RS,ILI,W14,27,15.5888579702895,36.6391837292713,86.1146972347693
RS,ILI,W15,28,10.2965936096279,29.0401148777266,81.9036182338009
RS,ILI,W16,29,16.1305131691047,39.1603362162794,95.0702508032584
RS,ILI,W17,30,13.7261277763036,32.9910888409824,79.2949009838446
RS,ILI,W18,31,18.2719690277645,42.4715849546712,98.7214637798972
RS,ILI,W19,32,15.0710776764308,45.1817320043272,135.450758780397
RS,ILI,W20,33,13.5402935186826,40.6126077680186,121.813009994439
