ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
RU,ILI,W40,1,0.00611552918426769,0.0205612536731767,0.0691297743620118
RU,ILI,W41,2,0.0183014025977393,0.0285128538150292,0.0444218867016045
RU,ILI,W42,3,0.0221522400513822,0.0320041109099658,0.0462374510551353
RU,ILI,W43,4,0.0227139606049052,0.0466406923007075,0.0957716805152639
RU,ILI,W44,5,0.00189443528087696,0.0127374498359094,0.0856416843373
RU,ILI,W45,6,0.0644438973375089,0.075618879870366,0.0887316755984065
RU,ILI,W46,7,0.0690197546434871,0.118847155978348,0.2046464314036
RU,ILI,W47,8,0.139072076612478,0.236154293685297,0.40100681448369
RU,ILI,W48,9,0.327154769714039,0.499897227159386,0.76385020441571
RU,ILI,W49,10,0.349835457526561,0.509842677344736,0.74303376072825
RU,ILI,W50,11,0.591976881032799,0.914657482914686,1.41322801254037
RU,ILI,W51,12,0.0821121469757951,0.602155014388126,4.41579808477847
RU,ILI,W52,13,0.154796820086189,1.01430968997464,6.64628735011228
RU,ILI,W01,14,0.0707508084866392,0.843492878053859,10.0561428278511
RU,ILI,W02,15,0.120013220427035,1.20871147248902,12.1735207048694
RU,ILI,W03,16,0.142873999769167,1.28128114790964,11.4904138096576
RU,ILI,W04,17,0.134342294877365,1.28115212696179,12.2176770459149
RU,ILI,W05,18,0.0781369418215034,0.993640370975888,12.6357797453674
RU,ILI,W06,19,0.0347760588631853,0.593405687140847,10.1256531373046
RU,ILI,W07,20,0.0971216612066971,0.785429517034899,6.35182222549481
RU,ILI,W08,21,0.0279624665433099,0.382515014583683,5.23264770492722
RU,ILI,W09,22,0.0511833787858014,0.356518331614813,2.48333196816365
RU,ILI,W10,23,0.0466427150966155,0.258673003106217,1.43455891016182
RU,ILI,W11,24,0.0329406492931927,0.18354494456141,1.02271046251092
RU,ILI,W12,25,0.0223894612757484,0.155714624759605,1.08296685058199
RU,ILI,W13,26,0.0110996569686417,0.0934831452147619,0.787330497143615
RU,ILI,W14,27,0.0111789314190285,0.0790298968807804,0.558704975178171
RU,ILI,W15,28,0.00717992469975122,0.0556872252314207,0.431908019046833
RU,ILI,W16,29,0.0188057698909799,0.0646246318093697,0.222077748515883
RU,ILI,W17,30,0.00175032844198463,0.034693029457262,0.687645966352308
RU,ILI,W18,31,0.00729055570013162,0.0515906938308054,0.365075009288504
RU,ILI,W19,32,0.0056952921699428,0.0273917373992983,0.131741665811616
RU,ILI,W20,33,0.00573770501505483,0.0352430044302551,0.216474942161019
