ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
SCT,ILI,W40,1,5.31726199461449,6.34954090468619,7.58222365967997
SCT,ILI,W41,2,6.03475446015699,7.00291914912165,8.12640794798119
SCT,ILI,W42,3,3.84871519768647,4.76855894713499,5.90824554801303
SCT,ILI,W43,4,4.47012824153191,6.31049214581753,8.90853885408388
SCT,ILI,W44,5,3.6825025765968,5.42488634938342,7.99168263744268
SCT,ILI,W45,6,5.13340320351904,6.47923431309953,8.17790374527136
SCT,ILI,W46,7,4.31176518738437,6.40560420649723,9.51623371568293
SCT,ILI,W47,8,5.47874555952185,6.84341991354942,8.5480144322037
SCT,ILI,W48,9,6.51019798704416,8.3207267974736,10.6347755592038
SCT,ILI,W49,10,6.07650822471087,9.55498988894625,15.0247195266833
SCT,ILI,W50,11,8.35067627970944,13.9979591490985,23.4643104075215
SCT,ILI,W51,12,9.80721055680763,16.2206982469746,26.8283269840441
SCT,ILI,W52,13,9.27357209898648,17.6826040690369,33.7167256937047
SCT,ILI,W01,14,14.8026212502133,29.1417491955504,57.3710244842025
SCT,ILI,W02,15,14.6182932505135,29.2852990021758,58.6681853311923
SCT,ILI,W03,16,14.5468435079018,27.5389443454053,52.1345716854226
SCT,ILI,W04,17,18.2629699046214,30.7664878441003,51.8303857042244
SCT,ILI,W05,18,21.8046112860137,30.8302663712859,43.5919408081415
SCT,ILI,W06,19,19.6054018320348,24.7914876034096,31.3494139449739
SCT,ILI,W07,20,19.8340888063021,26.5741030081143,35.6045068458847
SCT,ILI,W08,21,17.800912968224,23.2408290275982,30.3431703112215
SCT,ILI,W09,22,13.1780704119432,19.3923663026863,28.5370967874582
SCT,ILI,W10,23,11.2411673452051,15.9259131282201,22.5630222537165
SCT,ILI,W11,24,9.98994318302054,15.6929610000864,24.6516942527565
SCT,ILI,W12,25,9.64429029537219,12.8329938867874,17.0759824781868
SCT,ILI,W13,26,5.92498475857684,8.49424781294577,12.1776255716588
SCT,ILI,W14,27,8.89098630147073,11.0305514100716,13.6849906505992
SCT,ILI,W15,28,4.8454583926094,7.87142512882048,12.7870943341771
SCT,ILI,W16,29,3.13164822816366,5.37861691183891,9.23779357596727
SCT,ILI,W17,30,2.89875469252377,5.33705241373747,9.82633285267114
SCT,ILI,W18,31,2.21805528375368,4.67098870949559,9.83660582495122
SCT,ILI,W19,32,0.697108047825804,2.52108099129995,9.11745228665351
SCT,ILI,W20,33,1.16231954549247,3.94356410801991,13.3798815776376
