ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
SI,ILI,W40,1,-0.178509071222393,0.227322745952359,0.833643038485491
SI,ILI,W41,2,0,0,0
SI,ILI,W42,3,0,0,0
SI,ILI,W43,4,-0.150248433773361,0.184832497172395,0.652045259050873
SI,ILI,W44,5,0,0,0
SI,ILI,W45,6,0,0,0
SI,ILI,W46,7,-0.106212289695199,0.542991188936907,1.66374417737856
SI,ILI,W47,8,0,0,0
SI,ILI,W48,9,0,0,0
SI,ILI,W49,10,-0.16282753207773,0.203383696808377,0.729789711477531
SI,ILI,W50,11,0.114325705123819,0.993889674996624,2.56771455399244
SI,ILI,W51,12,0.0864879126614817,1.25250753347427,3.66990026233194
SI,ILI,W52,13,-0.0928239993380037,0.580408170746006,1.75325844636332
SI,ILI,W01,14,2.83378712094124,5.00983126773203,8.85684360186136
SI,ILI,W02,15,8.66375011587866,12.1836982825764,17.1337471482234
SI,ILI,W03,16,16.8564306453264,23.6587835643666,33.2062019251234
SI,ILI,W04,17,23.8396326052969,38.1477996116175,61.0435000950804
SI,ILI,W05,18,30.3890049336974,60.8474089550573,121.83377457149
SI,ILI,W06,19,33.5238680959937,56.2333470956671,94.3265054177823
SI,ILI,W07,20,31.5066865628637,60.0561662723056,114.475481264286
SI,ILI,W08,21,40.0185703873379,50.7338945535631,64.3183410016682
SI,ILI,W09,22,14.7979116114762,25.9777346127308,45.6039144798049
SI,ILI,W10,23,10.0632639305027,19.2313545785141,36.7519923435082
SI,ILI,W11,24,10.5457837439562,17.6002860308832,29.3738308967727
SI,ILI,W12,25,3.59234088105659,7.59472738266744,16.0563504207523
SI,ILI,W13,26,0.642811322220788,3.50309544251867,11.3433946979501
SI,ILI,W14,27,3.08286941630323,4.86444846676321,7.67559558658499
SI,ILI,W15,28,2.23201810266477,3.68854127679284,6.09553154356648
SI,ILI,W16,29,1.11510609877077,1.78932995529338,2.87120812310111
SI,ILI,W17,30,0,0,0
SI,ILI,W18,31,-0.143945164657412,0.86403503120352,3.05888320946565
SI,ILI,W19,32,0,0,0
SI,ILI,W20,33,-0.0573516962793859,0.564587040205337,1.59686735415166
