ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
SK,ILI,W40,1,121.246508329304,139.554922837821,160.627936891798
SK,ILI,W41,2,127.368103068131,136.806008518978,146.943257503672
SK,ILI,W42,3,114.430844888814,125.933284243926,138.591933808327
SK,ILI,W43,4,113.049545379012,123.009463463631,133.846872633417
SK,ILI,W44,5,87.4830493317509,111.444253115489,141.968320118463
SK,ILI,W45,6,111.641547197667,126.537553734455,143.421091045528
SK,ILI,W46,7,112.501132624011,130.822223480815,152.126949811807
SK,ILI,W47,8,123.863028699628,138.498711641237,154.863750125141
SK,ILI,W48,9,131.598197964532,147.734101319562,165.848507276527
SK,ILI,W49,10,137.586808244373,150.083933488498,163.716183105085
SK,ILI,W50,11,94.7702919575664,130.308892836008,179.174372067453
SK,ILI,W51,12,83.6469246810947,122.866962610991,180.476336204893
SK,ILI,W52,13,66.4683458934466,101.976627947071,156.453910619743
SK,ILI,W01,14,84.5342711172142,118.010837574818,164.74451841904
SK,ILI,W02,15,144.23709298785,165.595868199054,190.117472534673
SK,ILI,W03,16,71.5329626369311,911.915804723188,11625.2760161035
SK,ILI,W04,17,135.917371580578,219.536568229452,354.600035517841
SK,ILI,W05,18,136.600921718281,259.257321047042,492.049084815903
SK,ILI,W06,19,183.899309677482,368.397428049524,737.99442331524
SK,ILI,W07,20,230.391013770233,421.94763557705,772.772358849986
SK,ILI,W08,21,239.222452689113,417.417438839963,728.348515321633
SK,ILI,W09,22,228.660630559296,357.241040808583,558.124767371816
SK,ILI,W10,23,222.079384593617,282.761839858891,360.025574758744
SK,ILI,W11,24,192.239062459011,247.616596930247,318.946515297273
SK,ILI,W12,25,133.803561726038,184.806558141963,255.250783250506
SK,ILI,W13,26,112.028227536205,151.515948192285,204.922304507477
SK,ILI,W14,27,98.7759504832413,130.294248390521,171.869681644129
SK,ILI,W15,28,94.6673547245108,121.249166395228,155.294931334248
SK,ILI,W16,29,72.9379177591868,99.7055255566222,136.296622277377
SK,ILI,W17,30,62.3619408797509,90.7032674652536,131.924738274858
SK,ILI,W18,31,57.7367867397034,84.6299139490164,124.049548640585
SK,ILI,W19,32,46.6354064212842,77.1899179059655,127.763085680119
SK,ILI,W20,33,64.5596781472484,82.7570876495129,106.083793364157
