ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
TJ,ILI,W40,1,-0.72348182711927,4.0156510799251,89.976862364864
TJ,ILI,W41,2,0.0321988229746622,1.40073915011183,60.9360835394509
TJ,ILI,W42,3,0.0368901721547426,1.55226059432193,65.3158500474745
TJ,ILI,W43,4,0.0147692590158225,0.826792951579579,46.2844198242673
TJ,ILI,W44,5,0.0389869260620132,1.36202471807063,47.5829084263946
TJ,ILI,W45,6,0.0549489879970933,1.44099108829237,37.788781781529
TJ,ILI,W46,7,-0.541065237508943,1.98913991827398,18.4689053461996
TJ,ILI,W47,8,-0.107862248133512,3.459131651687,21.2878754379318
TJ,ILI,W48,9,0.386176460216335,10.6086129819896,291.428093101771
TJ,ILI,W49,10,0.537226904605411,12.9897137906043,314.080815602021
TJ,ILI,W50,11,0.645543979960079,14.7981519406091,339.225998003879
TJ,ILI,W51,12,0.359763434063314,7.57194274573351,159.366715780727
TJ,ILI,W52,13,0.550220498891449,13.1635017317466,314.92424980677
TJ,ILI,W01,14,0.231650672402324,15.4825101793743,219.576457189181
TJ,ILI,W02,15,-0.0735121411680275,13.2669923353584,218.697504243379
TJ,ILI,W03,16,-0.0259053044548785,9.81740837553604,119.128283726699
TJ,ILI,W04,17,-0.151713519014462,9.30491294464135,124.183217199529
TJ,ILI,W05,18,0.787592204268068,11.0921661826942,156.218090983832
TJ,ILI,W06,19,-0.268560715467491,6.07614904445481,67.4566530102927
TJ,ILI,W07,20,0.212425367082622,5.56056095323782,34.4998841080959
TJ,ILI,W08,21,-0.0586866485236235,4.3287681024209,29.1661178446496
TJ,ILI,W09,22,0.842353659502563,6.38730269753551,48.4329061667954
TJ,ILI,W10,23,-0.158331654940153,7.57030290846215,86.2672619493277
TJ,ILI,W11,24,-0.138770022303377,5.24788503903012,44.3259506425208
TJ,ILI,W12,25,0.429572378114056,4.17074934772102,40.4941076469696
TJ,ILI,W13,26,0.444330039665639,3.08503901803362,21.4198116110983
TJ,ILI,W14,27,0.614377092347382,5.66617060383608,52.256976556709
TJ,ILI,W15,28,-0.353789573030815,3.25743296415721,27.0492772753677
TJ,ILI,W16,29,-0.444343534362193,3.75335510297567,39.6625066605677
TJ,ILI,W17,30,-0.434036981453134,3.59214130909506,36.2599641878387
TJ,ILI,W18,31,0.352871499666505,3.44321617735841,33.5978894731578
TJ,ILI,W19,32,-0.741435335382414,4.50995272142397,116.415807907198
TJ,ILI,W20,33,-0.749401128004006,4.3062533382492,111.35615015111
