ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
TR,ILI,W40,1,118.629297612671,189.861800691949,303.866785755452
TR,ILI,W41,2,124.147348755617,196.535397474091,311.13159360603
TR,ILI,W42,3,92.5136659936643,174.46666448749,329.017520713912
TR,ILI,W43,4,93.5346651449066,178.829083671031,341.903625966655
TR,ILI,W44,5,107.259396351943,184.680588000125,317.985376984217
TR,ILI,W45,6,103.649993710729,225.92311674749,492.438569975682
TR,ILI,W46,7,163.280176991788,318.937385868898,622.984724655229
TR,ILI,W47,8,169.6051382227,297.112299655904,520.477855399105
TR,ILI,W48,9,185.748431794156,316.279693120425,538.53937454075
TR,ILI,W49,10,171.982191544869,307.231440504524,548.842628336078
TR,ILI,W50,11,165.268199037487,315.903707763463,603.837599489222
TR,ILI,W51,12,228.255395458658,386.443455218427,654.260740610641
TR,ILI,W52,13,247.8587497003,400.138155903578,645.974951473429
TR,ILI,W01,14,309.192180710533,453.508053069529,665.183555826929
TR,ILI,W02,15,266.441978044553,418.742627407416,658.099708217693
TR,ILI,W03,16,237.626731839993,392.178260166171,647.249518419207
TR,ILI,W04,17,208.523868001621,358.288428561091,615.615849020116
TR,ILI,W05,18,72.5658330472123,229.596427498487,726.437185469522
TR,ILI,W06,19,171.361128190584,326.273871106905,621.229797510954
TR,ILI,W07,20,168.959949826257,310.348566505265,570.053630052068
TR,ILI,W08,21,165.091276363594,318.671174774825,615.122251576227
TR,ILI,W09,22,154.379826996801,299.618232419979,581.494920319688
TR,ILI,W10,23,137.928636642539,267.682013029883,519.498066854899
TR,ILI,W11,24,146.262107219072,260.353269901517,463.440780645156
TR,ILI,W12,25,153.677477629978,276.526972952934,497.582130770191
TR,ILI,W13,26,141.840424003421,238.866630676489,402.263795047327
TR,ILI,W14,27,140.382378304018,250.944067636758,448.581409168783
TR,ILI,W15,28,136.792830533298,240.929575517149,424.342855781056
TR,ILI,W16,29,125.662179898303,226.280200536369,407.463321074145
TR,ILI,W17,30,125.252944369391,220.16588431244,387.001015098885
TR,ILI,W18,31,113.687837261886,225.067453927445,445.565330798711
TR,ILI,W19,32,111.539143162299,225.576846645401,456.206783554366
TR,ILI,W20,33,89.109754324419,224.498344154753,565.589108738178
