ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
UA,ILI,W40,1,50.466059171067,158.641571956036,498.694543740219
UA,ILI,W41,2,62.1328098762527,189.70730626408,579.224762595656
UA,ILI,W42,3,87.8269058399194,232.216123877404,613.984150676249
UA,ILI,W43,4,20.278191868867,137.356405001183,930.397646735705
UA,ILI,W44,5,95.3253970584668,260.762000131854,713.312745721476
UA,ILI,W45,6,72.9002278930849,236.527193720954,767.420280929143
UA,ILI,W46,7,71.1724243287584,241.406713646007,818.817146429807
UA,ILI,W47,8,77.0242840460202,205.410369031829,547.793728021965
UA,ILI,W48,9,96.1145865590627,236.041285191635,579.677760780687
UA,ILI,W49,10,174.714553778729,322.634576355941,595.789346731863
UA,ILI,W50,11,212.411828779664,372.699660157552,653.942096725894
UA,ILI,W51,12,246.922887578115,413.847284026795,693.615631083098
UA,ILI,W52,13,176.0516229225,355.910351485601,719.517242680387
UA,ILI,W01,14,151.086545360695,328.833790647476,715.693522632614
UA,ILI,W02,15,275.047340423418,462.913450785266,779.098109394691
UA,ILI,W03,16,153.133478125927,343.762372087874,771.696495826368
UA,ILI,W04,17,80.482383891042,272.531746107504,922.85477946276
UA,ILI,W05,18,151.634652051991,366.684641100524,886.720971753333
UA,ILI,W06,19,187.814881670018,418.940088285521,934.488236566069
UA,ILI,W07,20,154.328607020465,415.737377846919,1119.93214139562
UA,ILI,W08,21,187.476281692736,389.271853346352,808.275982644344
UA,ILI,W09,22,147.317444311225,336.057905016704,766.60925019598
UA,ILI,W10,23,65.3592691239383,173.965577332913,463.041011664087
UA,ILI,W11,24,29.240835789374,126.768694600016,549.584220039021
UA,ILI,W12,25,53.4991013739818,156.593030116277,458.351195650599
UA,ILI,W13,26,54.0418512930649,172.316516161623,549.444199849043
UA,ILI,W14,27,38.1165208435769,179.486090500279,845.178310352084
UA,ILI,W15,28,22.8920617458051,147.426475817355,949.436796618288
UA,ILI,W16,29,18.2780733898383,132.181498914471,955.896624476292
UA,ILI,W17,30,24.2840976269476,128.239305239255,677.205291334261
UA,ILI,W18,31,12.5380398083104,98.7545068901551,777.829132800616
UA,ILI,W19,32,7.52508730383454,83.4065020522444,924.460315702406
UA,ILI,W20,33,16.9430199923958,104.265377075456,641.637019938957
