ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
WLS,ILI,W40,1,5.41584535186344,5.65379156743537,5.90219199612207
WLS,ILI,W41,2,2.6211736591649,4.26059478523922,6.92539689636247
WLS,ILI,W42,3,1.85806135354533,3.45903999990097,6.43948473395931
WLS,ILI,W43,4,3.76955109633251,4.81496633253061,6.15030813774071
WLS,ILI,W44,5,4.84480855046445,5.80403967819932,6.95319045845118
WLS,ILI,W45,6,4.18442702931752,4.71709071996207,5.31756073279676
WLS,ILI,W46,7,5.47164919377401,6.42915229951277,7.55421223593113
WLS,ILI,W47,8,4.32974796850373,5.24040054411374,6.34258577231639
WLS,ILI,W48,9,5.75751696502865,6.59766462391742,7.56040820271812
WLS,ILI,W49,10,4.34047499464729,6.03415626323825,8.38872285961324
WLS,ILI,W50,11,4.42239141959724,6.6641956310165,10.0424180482207
WLS,ILI,W51,12,9.33110347773486,11.3977702929002,13.9221655787762
WLS,ILI,W52,13,9.8095052383744,12.3261309408106,15.488396231815
WLS,ILI,W01,14,12.0687835146684,17.6814089574123,25.9042033805053
WLS,ILI,W02,15,9.87391383328319,18.8215063857739,35.8772730460356
WLS,ILI,W03,16,14.0166387294801,25.1730697154192,45.2093723129626
WLS,ILI,W04,17,13.2582817893765,21.3504499736978,34.3816582963734
WLS,ILI,W05,18,14.2213085045232,22.5256712930425,35.6792672798578
WLS,ILI,W06,19,14.9040560385151,22.2922923920269,33.3430241276208
WLS,ILI,W07,20,13.4397335557622,20.2949809945625,30.6469061950308
WLS,ILI,W08,21,13.7783001091631,19.3337984459413,27.1293090865174
WLS,ILI,W09,22,11.0589111137932,16.1495389340652,23.5834798832587
WLS,ILI,W10,23,8.94814822759789,13.5106936308513,20.3996221054699
WLS,ILI,W11,24,8.68190027586053,12.3073670992346,17.446789309073
WLS,ILI,W12,25,4.64546541158879,6.83394172094199,10.0534080673004
WLS,ILI,W13,26,5.78761583745509,6.23418938923192,6.71522064220169
WLS,ILI,W14,27,5.86391987169715,6.82877035708688,7.95237752393299
WLS,ILI,W15,28,4.0929524434105,4.79968088647838,5.62843984398462
WLS,ILI,W16,29,3.09015417356221,3.84606408459563,4.78688379672802
WLS,ILI,W17,30,2.07625754601298,2.68232714224766,3.46531137808736
WLS,ILI,W18,31,1.54375297466477,2.89421959518622,5.42606699558192
WLS,ILI,W19,32,1.50500673409261,2.62267640112149,4.57036593204792
WLS,ILI,W20,33,1.10533389375071,1.98728907001614,3.57296367200366
