ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
XK,ILI,W40,1,19.8261510619715,39.3020839449823,77.9099179457593
XK,ILI,W41,2,19.1985086288006,43.9044201992584,100.40353395687
XK,ILI,W42,3,18.0415215154269,43.2690053546287,103.772113830755
XK,ILI,W43,4,24.0605045047882,46.7153416564173,90.7014707709683
XK,ILI,W44,5,14.1602934458399,39.4037033130171,109.648280999178
XK,ILI,W45,6,28.4904983697678,44.3061515530082,68.9013944214179
XK,ILI,W46,7,31.6156964465585,43.1116925472799,58.7878251372037
XK,ILI,W47,8,31.8659327879033,47.2204538631607,69.9735130267186
XK,ILI,W48,9,33.8197749442845,53.0626627076806,83.2544325994967
XK,ILI,W49,10,37.1545274409297,51.0140872946503,70.0436065737532
XK,ILI,W50,11,21.329811815968,39.9128170343243,74.6857486301341
XK,ILI,W51,12,29.9113366250077,50.625604573268,85.6849652203812
XK,ILI,W52,13,35.0407607224663,57.2062837749218,93.392918300392
XK,ILI,W01,14,45.2787466869493,84.4612002523911,157.55061414124
XK,ILI,W02,15,47.4109086570083,118.218624096429,294.776950687842
XK,ILI,W03,16,57.9704416678685,138.824612291527,332.44999388326
XK,ILI,W04,17,70.3445015398998,155.754346072765,344.86585005929
XK,ILI,W05,18,64.1040660123981,159.486958095421,396.793704124963
XK,ILI,W06,19,59.2204317348803,165.022495819143,459.848456497143
XK,ILI,W07,20,66.3855806670594,142.486490006926,305.825446286529
XK,ILI,W08,21,76.2109541381857,156.163425342992,319.993571667372
XK,ILI,W09,22,74.3630417557356,138.977757454457,259.736780678155
XK,ILI,W10,23,64.1249666700467,110.410642931222,190.105519043958
XK,ILI,W11,24,42.7224201367164,80.4172936169731,151.371132346518
XK,ILI,W12,25,38.1445024764178,66.8498148540566,117.157059494601
XK,ILI,W13,26,31.4413938981443,55.7932541973368,99.0060181178026
XK,ILI,W14,27,32.4061419962709,49.8114714172545,76.565198197227
XK,ILI,W15,28,18.3589384612085,35.9809302584794,70.5175489857999
XK,ILI,W16,29,18.4024928115559,36.0672781180675,70.6887139784217
XK,ILI,W17,30,15.3110282774921,32.765082748198,70.1161690801936
XK,ILI,W18,31,10.6864769572838,23.4189526677711,51.3216232297668
XK,ILI,W19,32,7.41129841123952,22.2132055515838,66.5776053665056
XK,ILI,W20,33,9.70580502215102,32.7498430584075,110.506260727729
