country,age_group,population
Belgium,0-4,587331
Belgium,5-9,631815
Belgium,10-14,680878
Belgium,15-19,673828
Belgium,20-24,664441
Belgium,25-29,708849
Belgium,30-34,781998
Belgium,35-39,757919
Belgium,40-44,768488
Belgium,45-49,736038
Belgium,50-54,777495
Belgium,55-59,790842
Belgium,60-64,768176
Belgium,65-69,674691
Belgium,70-74,570116
Belgium,75-79,471359
Belgium,80-84,303080
Belgium,85-89,219862
Belgium,90-94,105323
Belgium,95-99,25612
Belgium,100+,2958
Bulgaria,0-4,287023
Bulgaria,5-9,312513
Bulgaria,10-14,326418
Bulgaria,15-19,326297
Bulgaria,20-24,312928
Bulgaria,25-29,298534
Bulgaria,30-34,408480
Bulgaria,35-39,472782
Bulgaria,40-44,483768
Bulgaria,45-49,535861
Bulgaria,50-54,496779
Bulgaria,55-59,446424
Bulgaria,60-64,455390
Bulgaria,65-69,437258
Bulgaria,70-74,395321
Bulgaria,75-79,313967
Bulgaria,80-84,189629
Bulgaria,85-89,106119
Bulgaria,90-94,34756
Bulgaria,95-99,4606
Bulgaria,100+,296
Czechia,0-4,526328
Czechia,5-9,556315
Czechia,10-14,564574
Czechia,15-19,554185
Czechia,20-24,499728
Czechia,25-29,528909
Czechia,30-34,669356
Czechia,35-39,703676
Czechia,40-44,767870
Czechia,45-49,911624
Czechia,50-54,757949
Czechia,55-59,671824
Czechia,60-64,596685
Czechia,65-69,632153
Czechia,70-74,598873
Czechia,75-79,481144
Czechia,80-84,278091
Czechia,85-89,132878
Czechia,90-94,55305
Czechia,95-99,11534
Czechia,100+,1122
Denmark,0-4,318122
Denmark,5-9,307645
Denmark,10-14,315923
Denmark,15-19,347254
Denmark,20-24,363677
Denmark,25-29,404872
Denmark,30-34,401825
Denmark,35-39,352386
Denmark,40-44,335660
Denmark,45-49,373000
Denmark,50-54,389102
Denmark,55-59,415353
Denmark,60-64,366098
Denmark,65-69,325858
Denmark,70-74,297014
Denmark,75-79,289489
Denmark,80-84,180028
Denmark,85-89,94423
Denmark,90-94,36485
Denmark,95-99,9733
Denmark,100+,1333
Germany,0-4,3856879
Germany,5-9,4042363
Germany,10-14,3757462
Germany,15-19,3801716
Germany,20-24,4272432
Germany,25-29,4834735
Germany,30-34,5329574
Germany,35-39,5479327
Germany,40-44,5297876
Germany,45-49,4847127
Germany,50-54,5522743
Germany,55-59,6746134
Germany,60-64,6386966
Germany,65-69,5190719
Germany,70-74,4406534
Germany,75-79,3173774
Germany,80-84,3289660
Germany,85-89,2062829
Germany,90-94,743899
Germany,95-99,207511
Germany,100+,26108
Estonia,0-4,68176
Estonia,5-9,71233
Estonia,10-14,74350
Estonia,15-19,72757
Estonia,20-24,62035
Estonia,25-29,65720
Estonia,30-34,88826
Estonia,35-39,100442
Estonia,40-44,93191
Estonia,45-49,90291
Estonia,50-54,90044
Estonia,55-59,80928
Estonia,60-64,84699
Estonia,65-69,79158
Estonia,70-74,68886
Estonia,75-79,49162
Estonia,80-84,39869
Estonia,85-89,26512
Estonia,90-94,11359
Estonia,95-99,3035
Estonia,100+,334
Ireland,0-4,293380
Ireland,5-9,316655
Ireland,10-14,353161
Ireland,15-19,341432
Ireland,20-24,327152
Ireland,25-29,305058
Ireland,30-34,299273
Ireland,35-39,338116
Ireland,40-44,400911
Ireland,45-49,379855
Ireland,50-54,345862
Ireland,55-59,302720
Ireland,60-64,275276
Ireland,65-69,240900
Ireland,70-74,198326
Ireland,75-79,170713
Ireland,80-84,98575
Ireland,85-89,57118
Ireland,90-94,21864
Ireland,95-99,6163
Ireland,100+,1030
Greece,0-4,401121
Greece,5-9,462460
Greece,10-14,524894
Greece,15-19,549509
Greece,20-24,564382
Greece,25-29,540723
Greece,30-34,522462
Greece,35-39,591931
Greece,40-44,752053
Greece,45-49,776254
Greece,50-54,788383
Greece,55-59,756502
Greece,60-64,683858
Greece,65-69,641475
Greece,70-74,558826
Greece,75-79,493023
Greece,80-84,344167
Greece,85-89,242626
Greece,90-94,100965
Greece,95-99,23925
Greece,100+,2685
Spain,0-4,1783210
Spain,5-9,2127201
Spain,10-14,2400870
Spain,15-19,2564577
Spain,20-24,2468361
Spain,25-29,2468266
Spain,30-34,2682175
Spain,35-39,2908320
Spain,40-44,3499358
Spain,45-49,4008895
Spain,50-54,3808378
Spain,55-59,3605151
Spain,60-64,3209593
Spain,65-69,2713396
Spain,70-74,2276396
Spain,75-79,1985268
Spain,80-84,1369146
Spain,85-89,961975
Spain,90-94,507897
Spain,95-99,132859
Spain,100+,16914
France,0-4,3307972
France,5-9,3676876
France,10-14,4007196
France,15-19,3936811
France,20-24,3687341
France,25-29,3461623
France,30-34,3735357
France,35-39,3997700
France,40-44,4139359
France,45-49,3980402
France,50-54,4338718
France,55-59,4166970
France,60-64,4014333
France,65-69,3757786
France,70-74,3593911
France,75-79,2899757
France,80-84,1796646
France,85-89,1338260
France,90-94,725268
France,95-99,223766
France,100+,34400
Croatia,0-4,173187
Croatia,5-9,183340
Croatia,10-14,200432
Croatia,15-19,197436
Croatia,20-24,204802
Croatia,25-29,239877
Croatia,30-34,238842
Croatia,35-39,262479
Croatia,40-44,280972
Croatia,45-49,272309
Croatia,50-54,262252
Croatia,55-59,278620
Croatia,60-64,285891
Croatia,65-69,280738
Croatia,70-74,237546
Croatia,75-79,162649
Croatia,80-84,125443
Croatia,85-89,76568
Croatia,90-94,28405
Croatia,95-99,5381
Croatia,100+,520
Italy,0-4,2053505
Italy,5-9,2353686
Italy,10-14,2694819
Italy,15-19,2857846
Italy,20-24,2914582
Italy,25-29,2996654
Italy,30-34,3198085
Italy,35-39,3332390
Italy,40-44,3655772
Italy,45-49,4355762
Italy,50-54,4748902
Italy,55-59,4834780
Italy,60-64,4289401
Italy,65-69,3680780
Italy,70-74,3264924
Italy,75-79,2900363
Italy,80-84,2243159
Italy,85-89,1510485
Italy,90-94,694875
Italy,95-99,182563
Italy,100+,22644
Cyprus,0-4,64653
Cyprus,5-9,67994
Cyprus,10-14,67049
Cyprus,15-19,63695
Cyprus,20-24,67652
Cyprus,25-29,81047
Cyprus,30-34,106169
Cyprus,35-39,118986
Cyprus,40-44,108941
Cyprus,45-49,92219
Cyprus,50-54,83276
Cyprus,55-59,77214
Cyprus,60-64,70887
Cyprus,65-69,60777
Cyprus,70-74,49143
Cyprus,75-79,38400
Cyprus,80-84,25553
Cyprus,85-89,13922
Cyprus,90-94,5364
Cyprus,95-99,1288
Cyprus,100+,150
Latvia,0-4,82994
Latvia,5-9,102691
Latvia,10-14,93873
Latvia,15-19,96067
Latvia,20-24,86937
Latvia,25-29,79124
Latvia,30-34,115656
Latvia,35-39,129850
Latvia,40-44,121015
Latvia,45-49,120555
Latvia,50-54,128508
Latvia,55-59,122681
Latvia,60-64,131718
Latvia,65-69,118463
Latvia,70-74,97390
Latvia,75-79,72448
Latvia,80-84,62958
Latvia,85-89,38315
Latvia,90-94,14567
Latvia,95-99,3841
Latvia,100+,448
Lithuania,0-4,131014
Lithuania,5-9,144690
Lithuania,10-14,142073
Lithuania,15-19,125320
Lithuania,20-24,127017
Lithuania,25-29,147940
Lithuania,30-34,182516
Lithuania,35-39,181419
Lithuania,40-44,165486
Lithuania,45-49,175406
Lithuania,50-54,195157
Lithuania,55-59,197152
Lithuania,60-64,208359
Lithuania,65-69,172827
Lithuania,70-74,136183
Lithuania,75-79,102111
Lithuania,80-84,87321
Lithuania,85-89,54232
Lithuania,90-94,22708
Lithuania,95-99,5671
Lithuania,100+,658
Luxembourg,0-4,33814
Luxembourg,5-9,34471
Luxembourg,10-14,34618
Luxembourg,15-19,34674
Luxembourg,20-24,37626
Luxembourg,25-29,45439
Luxembourg,30-34,52358
Luxembourg,35-39,51877
Luxembourg,40-44,50459
Luxembourg,45-49,47672
Luxembourg,50-54,46649
Luxembourg,55-59,46484
Luxembourg,60-64,39936
Luxembourg,65-69,31647
Luxembourg,70-74,24763
Luxembourg,75-79,18712
Luxembourg,80-84,13226
Luxembourg,85-89,8543
Luxembourg,90-94,4109
Luxembourg,95-99,1057
Luxembourg,100+,125
Hungary,0-4,496159
Hungary,5-9,485915
Hungary,10-14,468955
Hungary,15-19,532423
Hungary,20-24,579768
Hungary,25-29,655937
Hungary,30-34,702272
Hungary,35-39,663448
Hungary,40-44,713944
Hungary,45-49,870101
Hungary,50-54,717832
Hungary,55-59,620857
Hungary,60-64,548130
Hungary,65-69,629238
Hungary,70-74,534207
Hungary,75-79,384674
Hungary,80-84,259242
Hungary,85-89,133603
Hungary,90-94,55785
Hungary,95-99,12530
Hungary,100+,1390
Malta,0-4,23675
Malta,5-9,24229
Malta,10-14,22926
Malta,15-19,21765
Malta,20-24,25260
Malta,25-29,40441
Malta,30-34,52477
Malta,35-39,48104
Malta,40-44,42622
Malta,45-49,37224
Malta,50-54,31383
Malta,55-59,28931
Malta,60-64,30837
Malta,65-69,29424
Malta,70-74,26431
Malta,75-79,24275
Malta,80-84,12913
Malta,85-89,8358
Malta,90-94,3524
Malta,95-99,941
Malta,100+,192
Netherlands,0-4,890492
Netherlands,5-9,879740
Netherlands,10-14,928671
Netherlands,15-19,977336
Netherlands,20-24,1112469
Netherlands,25-29,1130088
Netherlands,30-34,1161901
Netherlands,35-39,1102055
Netherlands,40-44,1045959
Netherlands,45-49,1030116
Netherlands,50-54,1231109
Netherlands,55-59,1259807
Netherlands,60-64,1199568
Netherlands,65-69,1049294
Netherlands,70-74,925732
Netherlands,75-79,812159
Netherlands,80-84,491025
Netherlands,85-89,277584
Netherlands,90-94,111895
Netherlands,95-99,25390
Netherlands,100+,2732
Austria,0-4,422536
Austria,5-9,441631
Austria,10-14,423465
Austria,15-19,431574
Austria,20-24,458755
Austria,25-29,553434
Austria,30-34,619979
Austria,35-39,613686
Austria,40-44,606175
Austria,45-49,569828
Austria,50-54,640832
Austria,55-59,706190
Austria,60-64,649389
Austria,65-69,518534
Austria,70-74,413652
Austria,75-79,345167
Austria,80-84,320920
Austria,85-89,145856
Austria,90-94,67796
Austria,95-99,17063
Austria,100+,1941
Poland,0-4,1983226
Poland,5-9,2019686
Poland,10-14,2057963
Poland,15-19,2135871
Poland,20-24,2267057
Poland,25-29,2585174
Poland,30-34,2956022
Poland,35-39,3257293
Poland,40-44,3350258
Poland,45-49,3060474
Poland,50-54,2538896
Poland,55-59,2252261
Poland,60-64,2412933
Poland,65-69,2581782
Poland,70-74,2129845
Poland,75-79,1351860
Poland,80-84,805189
Poland,85-89,536412
Poland,90-94,232103
Poland,95-99,54481
Poland,100+,5742
Portugal,0-4,413375
Portugal,5-9,437217
Portugal,10-14,472489
Portugal,15-19,518349
Portugal,20-24,565859
Portugal,25-29,553197
Portugal,30-34,564459
Portugal,35-39,591443
Portugal,40-44,694685
Portugal,45-49,802021
Portugal,50-54,769392
Portugal,55-59,736855
Portugal,60-64,709895
Portugal,65-69,642709
Portugal,70-74,578940
Portugal,75-79,481085
Portugal,80-84,345434
Portugal,85-89,234535
Portugal,90-94,98755
Portugal,95-99,22286
Portugal,100+,2722
Romania,0-4,1029982
Romania,5-9,1068274
Romania,10-14,1033021
Romania,15-19,1104165
Romania,20-24,1141202
Romania,25-29,1142745
Romania,30-34,1249687
Romania,35-39,1436842
Romania,40-44,1402141
Romania,45-49,1565293
Romania,50-54,1503605
Romania,55-59,1321609
Romania,60-64,1056971
Romania,65-69,1195897
Romania,70-74,1003679
Romania,75-79,646642
Romania,80-84,439955
Romania,85-89,274768
Romania,90-94,95979
Romania,95-99,16407
Romania,100+,1000
Slovenia,0-4,96152
Slovenia,5-9,105406
Slovenia,10-14,113403
Slovenia,15-19,103802
Slovenia,20-24,99163
Slovenia,25-29,112488
Slovenia,30-34,123582
Slovenia,35-39,144122
Slovenia,40-44,158431
Slovenia,45-49,159331
Slovenia,50-54,147657
Slovenia,55-59,152487
Slovenia,60-64,144768
Slovenia,65-69,137774
Slovenia,70-74,120291
Slovenia,75-79,79223
Slovenia,80-84,63026
Slovenia,85-89,37439
Slovenia,90-94,16482
Slovenia,95-99,3992
Slovenia,100+,431
Slovakia,0-4,297761
Slovakia,5-9,303537
Slovakia,10-14,298889
Slovakia,15-19,298133
Slovakia,20-24,321162
Slovakia,25-29,362876
Slovakia,30-34,426774
Slovakia,35-39,450547
Slovakia,40-44,460667
Slovakia,45-49,460492
Slovakia,50-54,382456
Slovakia,55-59,345609
Slovakia,60-64,340409
Slovakia,65-69,337207
Slovakia,70-74,281181
Slovakia,75-79,180055
Slovakia,80-84,110966
Slovakia,85-89,55543
Slovakia,90-94,22896
Slovakia,95-99,5233
Slovakia,100+,534
Finland,0-4,235703
Finland,5-9,272041
Finland,10-14,312251
Finland,15-19,310843
Finland,20-24,305251
Finland,25-29,332617
Finland,30-34,366527
Finland,35-39,358126
Finland,40-44,360058
Finland,45-49,343513
Finland,50-54,314133
Finland,55-59,359249
Finland,60-64,358546
Finland,65-69,346924
Finland,70-74,337904
Finland,75-79,295892
Finland,80-84,171604
Finland,85-89,106661
Finland,90-94,46886
Finland,95-99,11759
Finland,100+,1233
Sweden,0-4,580550
Sweden,5-9,625805
Sweden,10-14,637741
Sweden,15-19,625042
Sweden,20-24,603556
Sweden,25-29,641602
Sweden,30-34,788422
Sweden,35-39,719276
Sweden,40-44,658298
Sweden,45-49,646161
Sweden,50-54,662906
Sweden,55-59,684188
Sweden,60-64,586610
Sweden,65-69,544839
Sweden,70-74,516744
Sweden,75-79,506718
Sweden,80-84,330512
Sweden,85-89,180647
Sweden,90-94,79457
Sweden,95-99,21373
Sweden,100+,2700
Iceland,0-4,22780
Iceland,5-9,21685
Iceland,10-14,24079
Iceland,15-19,23400
Iceland,20-24,23127
Iceland,25-29,27632
Iceland,30-34,31106
Iceland,35-39,26847
Iceland,40-44,26306
Iceland,45-49,23450
Iceland,50-54,22708
Iceland,55-59,21981
Iceland,60-64,21390
Iceland,65-69,19120
Iceland,70-74,15513
Iceland,75-79,11661
Iceland,80-84,7099
Iceland,85-89,4054
Iceland,90-94,2017
Iceland,95-99,504
Iceland,100+,51
Liechtenstein,0-4,1820
Liechtenstein,5-9,1913
Liechtenstein,10-14,1956
Liechtenstein,15-19,1970
Liechtenstein,20-24,2061
Liechtenstein,25-29,2306
Liechtenstein,30-34,2456
Liechtenstein,35-39,2600
Liechtenstein,40-44,2590
Liechtenstein,45-49,2660
